title,type,country,rating,duration,listed_in,description,description_length,description_word_count,descr_polarity,descr_subjectivity
Little Singham: Mahabali,Movie,,0.0,69,"Children & Family Movies, Comedies","In a journey back in time to the ancient city of Mirchigadh, Little Singham vies for the title of Ultimate Warrior and fights a zombie king’s army.",147,27,-0.0625,0.5
Little Sister,Movie,United States,0.0,91,"Comedies, Dramas, Independent Movies","A former Goth studying to become a nun finds her faith tested when she returns home to visit her brother, who has been disfigured in the Iraq War.",146,28,0.0,0.0
Little Things,TV Show,India,1.0,3,"International TV Shows, Romantic TV Shows, TV Comedies","A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",140,21,0.16666666666666666,0.16666666666666666
Little Witch Academia,TV Show,Japan,0.0,2,"Anime Series, International TV Shows","Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success.",145,26,0.5,0.5249999999999999
Littlest Pet Shop: A World of Our Own,TV Show,United States,0.0,2,Kids' TV,"In Paw-Tucket, pets of all types form friendships, pursue their passions and have a great time being themselves.",112,18,0.8,0.75
Liv and Maddie,TV Show,United States,0.0,4,"Kids' TV, TV Comedies","After four years in Hollywood as a television star, Liv returns to Wisconsin to discover that either she – or her family – has changed.",135,25,0.0,0.0
Live,TV Show,South Korea,1.0,1,"Crime TV Shows, International TV Shows, Korean TV Shows",The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.,146,27,0.1,1.0
"Live Twice, Love Once",Movie,Spain,1.0,102,"Comedies, Dramas, International Movies","When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush.",144,24,0.0,0.0
Live Up To Your Name,TV Show,South Korea,1.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other.",146,25,-0.0875,0.1875
Living in Bondage: Breaking Free,Movie,Nigeria,1.0,149,"Horror Movies, International Movies, Thrillers","Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.",125,23,0.11249999999999999,0.5375
Living Undocumented,TV Show,United States,1.0,1,Docuseries,Eight undocumented families' fates roller-coast as the United States' immigration policies are transformed.,107,13,0.0,0.0
Living with Yourself,TV Show,United States,1.0,1,"TV Comedies, TV Dramas","Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",146,28,0.225,0.325
Lizzie Borden Took an Ax,Movie,United States,0.0,87,Thrillers,"This made-for-TV drama chronicles the scandal and enduring mystery surrounding Lizzie Borden, who was tried in 1892 for axing her parents to death.",147,23,0.0,0.0
Llama Llama,TV Show,United States,0.0,2,Kids' TV,"Beloved children's book character Llama Llama springs to life in this heartwarming series about family, friendship and learning new things.",139,20,0.41818181818181815,0.7272727272727273
Lo and Behold: Reveries of the Connected World,Movie,United States,0.0,98,Documentaries,"Filmmaker Werner Herzog presents a history of the internet, starting with its birth in 1969, and ponders the joys and sorrows of its social influence.",150,25,0.016666666666666666,0.08333333333333334
Lo más sencillo es complicarlo todo,Movie,Mexico,0.0,94,"Comedies, International Movies, Romantic Movies","When a 17-year-old learns the TV news host she pines for is engaged, she and her best friend launch an elaborate plan to prevent his marriage.",142,26,0.75,0.65
Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),TV Show,Spain,0.0,1,"Crime TV Shows, Docuseries, International TV Shows","This true crime series investigates newfound evidence and unanswered questions in famous criminal cases, such as the murder of Asunta Basterra Porto.",149,22,0.06999999999999999,0.5800000000000001
Lo que la vida me robó,TV Show,Mexico,0.0,1,"Crime TV Shows, International TV Shows, Romantic TV Shows","In seaside Aguazul, beautiful Montserrat and her wily mother tangle with lovers, gangsters, financial ruin, obsession – and murder.",131,19,0.425,0.5
Loaded,TV Show,United Kingdom,1.0,1,"British TV Shows, International TV Shows, TV Comedies",Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.,145,20,-0.4,0.4
Lock,Movie,India,0.0,90,"Dramas, International Movies","A disillusioned rickshaw driver in Punjab dreams of moving to Dubai, but his plan to butter up his would-be benefactor goes horribly wrong.",139,23,-0.5,0.9
Lock Your Girls In,Movie,,0.0,233,"Comedies, International Movies, Romantic Movies",A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love.,132,23,0.09999999999999999,0.5333333333333333
"Lock, Stock and Two Smoking Barrels",Movie,United Kingdom,1.0,108,"Action & Adventure, Comedies, Independent Movies","Hoping to make a bundle in a high-stakes poker game, four shiftless lads from London's East End instead find themselves swimming in debt.",137,23,-0.4,0.4
Locke,Movie,"United Kingdom, United States",1.0,85,"Dramas, Independent Movies","Over the space of 90 minutes, Ivan Locke's life spins out of control via a series of phone calls made while he drives down the highway to London.",145,28,-0.15555555555555559,0.2888888888888889
Locke & Key,TV Show,"Canada, United States",0.0,1,"TV Action & Adventure, TV Dramas, TV Mysteries","After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets.",152,25,0.5,1.0
Locked on You,Movie,Turkey,0.0,105,"Comedies, International Movies","When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island.",130,23,0.26212121212121214,0.5515151515151515
Locked Up,TV Show,Spain,1.0,5,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world.",148,25,0.09242424242424242,0.5136363636363637
Lockout,Movie,"France, United States",0.0,95,"Action & Adventure, International Movies, Sci-Fi & Fantasy",A government agent wrongly accused of a crime gets a shot at freedom if he can engineer a high-risk rescue mission to outer space.,130,24,-0.5,0.9
Loco Love,Movie,Mexico,1.0,103,"Dramas, Independent Movies, International Movies",A young man and woman fall in love but are threatened to be torn apart by the tensions between their Latino and Caucasian communities in Arizona.,145,26,0.3,0.5
Locust,TV Show,Russia,1.0,1,"Crime TV Shows, International TV Shows, Romantic TV Shows","A torrid affair between a passionate lowborn poet and a wealthy Moscow heiress is engulfed by class difference, criminality and, eventually, murder.",148,22,0.225,0.925
Loev,Movie,India,1.0,89,"Dramas, Independent Movies, International Movies",Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend.,147,26,0.22499999999999998,0.42500000000000004
Logan's Run,Movie,United States,0.0,118,"Action & Adventure, Classic Movies, Cult Movies","In the 23rd century, inhabitants of a domed city exist in a world filled with life's pleasures – but no one is allowed to live past the age of 30.",146,30,0.09545454545454546,0.5499999999999999
Lola Igna,Movie,Philippines,0.0,114,"Comedies, International Movies",An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.,152,27,0.1,0.4
LoliRock,TV Show,"South Korea, France",0.0,2,Kids' TV,A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.,141,26,0.675,1.0
Lolita,Movie,"United Kingdom, United States",1.0,153,"Classic Movies, Dramas, Romantic Movies","In this black comedy, an English professor marries his landlady to get closer to his forbidden obsession: her teenage daughter.",127,20,-0.05555555555555555,0.14444444444444446
Lommbock,Movie,Germany,1.0,106,"Comedies, International Movies","After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things.",149,24,-0.03333333333333329,0.48888888888888893
London Heist,Movie,United Kingdom,1.0,96,Action & Adventure,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money.",146,26,-0.3666666666666667,0.6208333333333333
London Hughes: To Catch a D*ck,Movie,United States,1.0,68,Stand-Up Comedy,Bawdy comedian and television presenter London Hughes revisits her past in this acclaimed breakout special filled with unfiltered tales and wild stories.,153,22,0.15178571428571427,0.5303571428571429
London Spy,TV Show,United Kingdom,1.0,1,"British TV Shows, Crime TV Shows, International TV Shows","When his reclusive-banker lover disappears, a hard-partying young British hedonist plunges into the dangerous world of espionage to find the truth.",147,21,-0.16666666666666666,0.43333333333333335
Long Shot,Movie,United States,0.0,40,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",151,27,0.12307692307692307,0.45384615384615384
Long Time Running,Movie,Canada,0.0,96,"Documentaries, International Movies, Music & Musicals",This documentary follows the 2016 tour of beloved rock band The Tragically Hip as they make their way across Canada one last time.,130,23,0.2333333333333333,0.35555555555555557
Longmire,TV Show,United States,1.0,6,"Crime TV Shows, TV Dramas",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,131,21,0.08333333333333333,0.13333333333333333
Loo Loo Kids: Johny & Friends Musical Adventures,TV Show,,0.0,1,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series.",149,20,0.4,0.7
Look for a Star,Movie,Hong Kong,0.0,117,"Comedies, International Movies, Romantic Movies","While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money.",141,23,-0.10000000000000002,0.4666666666666666
"Look Out, Officer",Movie,Hong Kong,0.0,88,"Action & Adventure, Comedies, International Movies",An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic.,149,31,0.3,0.6666666666666666
Look Who's Back,Movie,Germany,0.0,116,"Comedies, International Movies","When Adolf Hitler reawakens at the site of his former bunker 70 years later, he's mistaken for a brilliant comedian and becomes a media phenomenon.",147,25,0.3,0.3333333333333333
Lorai: Play to Live,Movie,India,0.0,155,"Dramas, International Movies, Sports Movies","Under a government initiative, a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area.",131,21,-0.375,0.75
"Lorena, Light-Footed Woman",Movie,Mexico,0.0,28,"Documentaries, International Movies, Sports Movies",Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.,146,24,0.0,0.0
Los 10 años de Peter Capusotto,TV Show,,1.0,1,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Fictional personality Peter Capusotto parodies Argentine culture and rock music in a series of humorous sketches with recurring characters.,139,19,0.25,0.625
Los Herederos,Movie,Mexico,1.0,71,"Dramas, International Movies","Spurred by boredom and peer pressure, a group of suburban teens becomes increasingly violent and find their paths intersecting those of their parents.",150,23,-0.4,0.5
Los Niños Héroes de Chapultepec,Movie,,0.0,88,"Documentaries, International Movies",This documentary pays tribute to the young cadets who gave their lives to defend Mexico against U.S. forces during the battle of Chapultepec Castle.,148,24,0.05,0.2
Los tiempos de Pablo Escobar,TV Show,Colombia,0.0,1,"Crime TV Shows, Docuseries, International TV Shows","Featuring never-before-seen images, personal testimonies and more, this is the story of one of the most notorious drug smugglers of all time.",141,22,0.3333333333333333,0.43333333333333335
Los Tigres del Norte at Folsom Prison,Movie,United States,0.0,64,"Documentaries, International Movies, Music & Musicals",The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.,144,24,0.6,0.75
Losers,TV Show,,1.0,1,Docuseries,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.",149,25,0.061111111111111095,0.38333333333333336
Losing Sight of Shore,Movie,"United States, Australia, Samoa, United Kingdom",0.0,92,"Documentaries, Sports Movies","This documentary recounts the feats of the Coxless Crew, a team of four women who rowed from San Francisco to Australia in support of two charities.",148,26,0.0,0.0
Lost & Found Music Studios,TV Show,Canada,0.0,2,"Kids' TV, TV Comedies, TV Dramas","Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.",150,21,0.0,0.0
Lost Bullet,Movie,France,1.0,93,"Action & Adventure, Dramas, International Movies","Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.",148,26,-0.2153968253968254,0.2706349206349207
Lost Girl,TV Show,Canada,0.0,5,"TV Dramas, TV Horror, TV Mysteries","Discovering she's a succubus who sustains herself by feeding on the sexual energy of humans, seductive Bo sets out on a journey to understand herself.",150,25,0.5,0.8333333333333334
Lost Girls,Movie,United States,1.0,95,Dramas,"Desperate to find her missing daughter, a mother fights to uncover the truth — and helps expose a string of unsolved murders. Based on a true story.",148,27,-0.15000000000000002,0.5666666666666668
Lost in London,Movie,Nigeria,0.0,86,"Comedies, International Movies","Nigerian students Okon and Bona experience culture shock – several shocks, really – after being selected for an exchange program in London.",139,22,0.1,0.1
Lost in Space,TV Show,United States,0.0,2,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",148,23,-0.20833333333333331,0.5416666666666666
LOST SONG,TV Show,Japan,0.0,1,"Anime Series, International TV Shows","War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song.",113,21,0.1,0.4
Loudon Wainwright III: Surviving Twin,Movie,,0.0,92,Music & Musicals,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,152,22,0.25,0.9166666666666666
Louis C.K. 2017,Movie,United States,,74,Movies,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C.",138,22,0.37878787878787873,0.5333333333333333
Louis C.K.: Hilarious,Movie,United States,,84,Movies,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",145,23,0.15833333333333333,0.7000000000000001
Louis C.K.: Live at the Comedy Store,Movie,United States,,66,Movies,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.",148,23,0.024999999999999994,0.45
Love,TV Show,United States,1.0,3,"Romantic TV Shows, TV Comedies, TV Dramas",Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow.,142,21,0.26666666666666666,0.4833333333333333
Love @ Seventeen,TV Show,Taiwan,0.0,1,"International TV Shows, Romantic TV Shows, TV Dramas","Radically changed by a misunderstanding 13 years ago, a biotech expert runs into an old flame and suffers an illness that takes her back to the past.",149,27,-0.1875,0.2875
Love & Anarchy,TV Show,Sweden,1.0,1,"International TV Shows, Romantic TV Shows, TV Comedies",A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,146,26,-0.012500000000000011,0.41875
Love 101,TV Show,Turkey,1.0,1,"International TV Shows, TV Dramas, Teen TV Shows","While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves.",152,26,0.5,0.6
Love Aaj Kal,Movie,India,1.0,140,"Dramas, International Movies, Romantic Movies","When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.",138,22,0.19999999999999998,0.3333333333333333
Love Alarm,TV Show,South Korea,1.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",148,25,0.19999999999999998,0.43333333333333335
Love and Fortune,TV Show,Japan,1.0,1,"International TV Shows, Romantic TV Shows, TV Dramas","Frustrated by life with her boyfriend, thirty-something Wako can’t stop herself from being interested in high schooler Yumeaki, despite their age gap.",150,22,-0.09666666666666664,0.4133333333333333
Love and Hong Kong,TV Show,Japan,0.0,1,"International TV Shows, Romantic TV Shows, TV Dramas",The lives of five strangers become intertwined forever when a starlet filming a documentary is kidnapped on the streets of Hong Kong.,133,22,0.0,0.0
Love and Shukla,Movie,India,1.0,110,"Dramas, Independent Movies, International Movies","A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.",127,19,-0.1159090909090909,0.5136363636363637
Love Around,TV Show,Taiwan,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","After a chance meeting at a ballpark, the kind son of a former gangster tries to help an outgoing radio DJ get over her recent heartbreak.",138,26,0.125,0.3875
Love Beats Rhymes,Movie,United States,1.0,106,"Dramas, Romantic Movies","After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry.",120,19,0.13636363636363635,0.45454545454545453
Love Cheque Charge,TV Show,Taiwan,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","Three years after making a wild promise to a woman in distress, a rigid businessman runs into her again and must decide whether to honor his word.",146,27,0.1,0.4
Love Cuisine,TV Show,Taiwan,1.0,1,"International TV Shows, Romantic TV Shows, TV Comedies",A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.,150,26,0.2777777777777778,0.7333333333333334
Love Dot Com: The Social Experiment,Movie,United States,1.0,98,"Comedies, Romantic Movies","Sparks fly and romance blooms when Shelby, a vegan chef, meets Greg, a developer – until their opposing views clash.",116,20,0.8,0.9
Love Family,TV Show,Taiwan,1.0,1,"International TV Shows, Romantic TV Shows, TV Comedies",A wealthy heir's search for a nameless childhood sweetheart leads him to an inn run by a family with three sisters. But which one is his true love?,147,28,0.2125,0.7875
Love for Sale,Movie,Indonesia,0.0,101,"Dramas, International Movies, Romantic Movies","Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract.",141,25,0.0,0.0
Love for Sale 2,Movie,Indonesia,0.0,96,"Dramas, International Movies, Romantic Movies","Exhausted with his mother’s failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app.",125,21,0.0,0.6666666666666666
Love for Ten: Generation of Youth,TV Show,South Korea,0.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to.",142,26,0.25,1.0
Love In A Puff,Movie,Hong Kong,1.0,103,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.",211,32,0.06818181818181818,0.25227272727272726
Love Is a Story,Movie,Romania,1.0,105,"International Movies, Music & Musicals, Romantic Movies","Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime.",139,21,0.1,0.4
Love Is Blind,Movie,United States,1.0,93,"Dramas, Independent Movies, Romantic Movies","Diagnosed with selective perception, a young woman is prescribed by a psychotherapist to spend time with a troubled man she cannot see.",135,22,-0.2,0.7
Love Is in the Air,TV Show,United Kingdom,0.0,1,"International TV Shows, TV Dramas","Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister.",145,27,0.2,0.7
Love Is War,Movie,Nigeria,0.0,111,"Comedies, Dramas, International Movies",An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.,130,23,0.037500000000000006,0.6375
Love Jacked,Movie,"Canada, South Africa",0.0,94,"Comedies, International Movies, Romantic Movies","To assert her independence from her rigid father’s expectations, a headstrong woman hires a desperate Los Angeles man to pose as her fiancé in Africa.",150,25,-0.6,1.0
Love Jones,Movie,United States,1.0,109,"Comedies, Dramas, Independent Movies","In this urban romantic comedy set in Chicago, the ups and downs of courtship play out between a young black poet and a pretty shutterbug.",137,25,0.03666666666666667,0.4666666666666667
Love Like the Falling Rain,Movie,Indonesia,0.0,87,"Dramas, International Movies, Romantic Movies","Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man — until a fateful incident.",144,25,0.55,0.35
Love Me As I Am,TV Show,Turkey,0.0,3,"International TV Shows, Romantic TV Shows, TV Comedies","After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect.",150,26,0.5666666666666667,0.74
Love Me or Leave Me,TV Show,Taiwan,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","When a marriage-phobic woman hires a seductress to test how faithful her eager-to-wed boyfriend is, her plan takes an unexpected turn.",134,21,0.1,1.0
Love Ni Bhavai,Movie,India,0.0,163,"Comedies, International Movies, Romantic Movies","Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors.",118,15,0.6,0.9
Love Now,TV Show,Taiwan,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","When her loved ones cook up a morbid plan to make her take time off from work, Yang Yiru goes on a vacation, truly believing she has terminal cancer.",149,29,0.7,0.8
Love O2O,Movie,China,0.0,103,"International Movies, Romantic Movies, Sci-Fi & Fantasy",A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.,150,25,0.003124999999999989,0.5375
Love Off the Cuff,Movie,"China, Hong Kong",1.0,120,"Comedies, Dramas, International Movies",Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.,147,27,-0.20833333333333331,0.29166666666666663
Love on Delivery,Movie,Hong Kong,0.0,93,"Action & Adventure, Comedies, International Movies","To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.",144,27,0.5,0.6
Love on the Spectrum,TV Show,Australia,0.0,1,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",147,24,0.02361111111111112,0.673611111111111
Love Per Square Foot,Movie,India,0.0,133,"Comedies, International Movies, Romantic Movies","Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",146,26,0.16666666666666666,0.5083333333333333
Love Rain,TV Show,South Korea,0.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","A story of two couples' journey of new love, loss and unexpected reunion spans decades, from the 1970s through present day.",123,21,0.18409090909090908,0.5136363636363637
Love Rhythms - Accidental Daddy,TV Show,,1.0,1,"International TV Shows, TV Comedies, TV Dramas",A successful DJ's bachelor lifestyle is upended by a young woman who claims to be his long lost daughter.,105,19,0.26666666666666666,0.5833333333333334
Love Shot,Movie,United States,1.0,77,"Dramas, Thrillers",A charming hitman questions his profession after learning his next target is the karaoke singer he’s falling in love with.,122,20,0.39999999999999997,0.5333333333333333
Love Station,Movie,Egypt,0.0,97,"Comedies, International Movies, Romantic Movies","Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",143,22,0.2142857142857143,0.40714285714285714
Love Storm,TV Show,,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies",Three grown siblings must rethink their idea of family when they learn their parents are getting divorced and have their eyes on new partners.,142,24,0.13636363636363635,0.45454545454545453
Love Wedding Repeat,Movie,"United Kingdom, Italy",1.0,101,"Comedies, International Movies, Romantic Movies","Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.",138,21,-0.125,0.68125
Love You to the Stars and Back,Movie,Philippines,0.0,111,"Comedies, International Movies, Romantic Movies","In search of aliens, a young woman's road trip becomes an emotional journey when she finds — and falls for — a charming companion with cancer.",142,26,0.26666666666666666,0.6833333333333332
Love You... Love You Not,Movie,Indonesia,0.0,115,"Comedies, International Movies, Romantic Movies",A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.,149,21,0.0,0.4416666666666667
Love Your Garden,TV Show,United Kingdom,0.0,1,"British TV Shows, International TV Shows, Reality TV",Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the U.K. planting dream gardens for deserving citizens.,150,23,0.6,0.8
"Love, Chunibyo & Other Delusions!",TV Show,Japan,0.0,2,"Anime Series, Romantic TV Shows, Teen TV Shows","High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his.",149,26,0.09333333333333332,0.515
"Love, Death & Robots",TV Show,United States,1.0,1,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",149,22,-0.575,0.7
"Love, Guaranteed",Movie,United States,0.0,91,"Comedies, Independent Movies, Romantic Movies",Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.,152,26,0.6666666666666666,0.8333333333333334
"Love, Rosie",Movie,"Germany, United Kingdom",1.0,103,"Comedies, International Movies, Romantic Movies","Over the years, as they come and go in each other's life, childhood pals Rosie and Alex struggle to resolve the lasting, intimate bond between them.",148,26,0.025000000000000005,0.325
"Love, Surreal and Odd",Movie,Turkey,0.0,95,"Comedies, International Movies, Romantic Movies","When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",129,21,0.125,0.43125
Love.com,Movie,Brazil,1.0,92,"Comedies, International Movies, Romantic Movies","When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated.",145,23,-0.45,0.7
Lovesick,TV Show,,1.0,1,"International TV Shows, Romantic TV Shows, TV Dramas",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,119,20,0.04,0.535
Lovesong,Movie,United States,1.0,84,"Dramas, Independent Movies, Romantic Movies","Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding.",138,24,0.3666666666666667,0.43333333333333335
Lovestruck in the City,TV Show,South Korea,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul.",141,24,-0.05,0.8500000000000001
LoveTrue,Movie,United States,1.0,82,Documentaries,"In this blend of documentary and dramatization, circumstances test notions of love held by a young stripper, a single-dad surfer and a teen musician.",149,24,0.15,0.25
Loving,Movie,"United Kingdom, United States",0.0,124,"Dramas, Romantic Movies",A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.,147,26,0.3499999999999999,0.6666666666666666
Loving Annabelle,Movie,United States,1.0,77,"Dramas, Independent Movies, LGBTQ Movies",An esteemed young poetry teacher at a Catholic boarding school risks everything when she engages in a feverish affair with a female student.,140,23,0.0,0.26666666666666666
Loving is Losing,Movie,Colombia,1.0,91,"Comedies, International Movies, Romantic Movies","When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",128,24,0.04285714285714285,0.33809523809523806
Loving You,Movie,Hong Kong,0.0,79,"Dramas, International Movies","Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded.",140,21,0.0,0.0
"LSD: Love, Sex Aur Dhokha",Movie,India,1.0,112,"Dramas, Independent Movies, International Movies",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,125,18,0.2,0.65
Lu Over the Wall,Movie,Japan,0.0,113,"Anime Features, Music & Musicals, Sci-Fi & Fantasy",Middle schooler Kai's depressing life in a boring fishing village changes drastically when a local mermaid named Lu joins his band.,131,21,-0.4,0.475
Lucas Brothers: On Drugs,Movie,United States,1.0,50,Stand-Up Comedy,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",150,26,-0.55,0.8500000000000001
Luccas Neto em: Acampamento de Férias 2,Movie,Brazil,0.0,81,"Children & Family Movies, Comedies, Music & Musicals","Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach.",140,26,0.14915824915824913,0.7292929292929293
Luccas Neto in: Children's Day,Movie,,0.0,81,"Children & Family Movies, Comedies, Music & Musicals","When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party – and his friends – at risk.",131,24,0.05,0.55
Luccas Neto in: Summer Camp,Movie,Brazil,0.0,87,"Children & Family Movies, Comedies, Music & Musicals",Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.,148,28,0.2,0.55
